Tip Propri;Tip strada;Denumire s;Suprafata ;Suprafata ;Suprafata teren;Pret tranz;Data tranz;Sursa fina,,,,,
Cladire;Alee;ARGEDAVA;27,9000;0,0000;0,0000;208769,0000;22.09.2023;Surse proprii,
Cladire;Alee;ARGEDAVA;35,0000;0,0000;0,0000;223758,0000;24.10.2023;Credit,
Teren;Alee;ARGEDAVA;0,0000;0,0000;7,0600;223758,0000;24.10.2023;Credit,
Cladire;Alee;ARGEDAVA;0,0000;30,0500;0,0000;157500,0000;28.11.2022;Mixt,
Cladire;Alee;ARGEDAVA;66,5400;0,0000;0,0000;392184,0000;22.12.2022;Surse proprii,
Cladire;Alee;ARGEDAVA;66,5400;0,0000;0,0000;272000,0000;16.12.2022;Surse proprii,
Cladire;Alee;ARGEDAVA;29,6000;0,0000;0,0000;206422,0000;02.02.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;12,0000;17283,0000;13.04.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;24,8500;392184,0000;22.12.2022;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;11,0500;206422,0000;02.02.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;24,8400;272000,0000;16.12.2022;Surse proprii,
Cladire;Alee;ARGEDAVA;83,3000;0,0000;0,0000;405742,0000;14.12.2022;Surse proprii,
Cladire;Alee;ARGEDAVA;0,0000;52,1000;0,0000;293000,0000;14.12.2023;Surse proprii,
Cladire;Alee;ARGEDAVA;52,1000;0,0000;0,0000;251838,0000;05.04.2023;Surse proprii,
Cladire;Alee;ARGEDAVA;83,3000;0,0000;0,0000;445864,5200;26.06.2023;Mixt,
Cladire;Alee;ARGEDAVA;52,1000;0,0000;0,0000;293000,0000;14.12.2023;Surse proprii,
Cladire;Alee;ARGEDAVA;51,6000;0,0000;0,0000;250872,0000;12.04.2023;Surse proprii,
Cladire;Alee;ARGEDAVA;51,6000;0,0000;0,0000;251501,0000;14.12.2022;Surse proprii,
Cladire;Alee;ARGEDAVA;12,5000;0,0000;0,0000;14842,0000;14.12.2022;Surse proprii,
Cladire;Alee;ARGEDAVA;13,2000;0,0000;0,0000;19785,0000;29.12.2022;Surse proprii,
Cladire;Alee;ARGEDAVA;135,0000;0,0000;0,0000;445864,5200;26.06.2023;Mixt,
Teren;Alee;ARGEDAVA;0,0000;0,0000;4,9200;19785,0000;29.12.2022;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;15,0000;405742,0000;14.12.2022;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;19,2300;250872,0000;12.04.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;10,4100;251501,0000;14.12.2022;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;32,9800;4,0000;26.06.2023;Mixt,
Teren;Alee;ARGEDAVA;0,0000;0,0000;6,2100;445864,5200;26.06.2023;Mixt,
Teren;Alee;ARGEDAVA;0,0000;0,0000;1,1800;293000,0000;14.12.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;19,4200;251838,0000;05.04.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;19,4200;293000,0000;14.12.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;5,8400;14842,0000;14.12.2022;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;19,4200;0,0000;14.12.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;1,1800;293000,0000;14.12.2023;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;1,1800;19785,0000;29.12.2022;Surse proprii,
Teren;Alee;ARGEDAVA;0,0000;0,0000;1,1800;250872,0000;12.04.2023;Surse proprii,
Cladire;Alee;ARGEDAVA;47,8600;0,0000;0,0000;385000,0000;18.10.2023;Mixt,
Cladire;Alee;ARGEDAVA;11,7000;0,0000;0,0000;385000,0000;18.10.2023;Mixt,
Cladire;Alee;ARRUBIUM;260,0600;0,0000;0,0000;394520,0000;11.04.2023;Surse proprii,
Teren;Alee;ARRUBIUM;0,0000;0,0000;383,0000;1130565,0000;14.03.2023;Mixt,
Cladire;Alee;ARRUBIUM;169,3000;0,0000;0,0000;1130565,0000;14.03.2023;Mixt,
Cladire;Alee;ARRUBIUM;89,2500;0,0000;0,0000;1130565,0000;14.03.2023;Mixt,
Teren;Alee;ARRUBIUM;0,0000;0,0000;582,0000;1130565,0000;14.03.2023;Mixt,
Cladire;Alee;AVRIG;45,8900;0,0000;0,0000;366100,2000;06.07.2023;Surse proprii,
Cladire;Alee;AVRIG;45,9200;0,0000;0,0000;306250,0000;16.02.2023;fara sursa,
Cladire;Alee;AVRIG;27,4400;0,0000;0,0000;204684,3000;31.05.2023;Surse proprii,
Cladire;Alee;AVRIG;27,5800;0,0000;0,0000;188643,0000;27.10.2023;Surse proprii,
Cladire;Alee;AVRIG;15,2000;0,0000;0,0000;25937,0900;07.08.2023;Surse proprii,
Cladire;Alee;AVRIG;0,0000;43,7000;0,0000;535223,5300;04.09.2023;Surse proprii,
Cladire;Alee;AVRIG;0,0000;11,7000;0,0000;20612,0000;12.09.2023;Surse proprii,
Cladire;Alee;AVRIG;5,1000;0,0000;0,0000;10641,0000;10.10.2023;Surse proprii,
Cladire;Alee;AVRIG;0,0000;108,7000;0,0000;626850,0000;21.09.2023;Surse proprii,
Cladire;Alee;AVRIG;43,8000;0,0000;0,0000;517552,0000;25.09.2023;Surse proprii,
Cladire;Alee;AVRIG;43,8000;0,0000;0,0000;596587,1300;15.09.2023;Surse proprii,
Cladire;Alee;AVRIG;47,0000;0,0000;0,0000;483172,2000;31.08.2023;Surse proprii,
Cladire;Alee;AVRIG;74,2000;0,0000;0,0000;592000,0000;21.09.2023;Mixt,
Cladire;Alee;AVRIG;74,8000;0,0000;0,0000;727032,6000;15.09.2023;Mixt,
Cladire;Alee;AVRIG;74,8000;0,0000;0,0000;659515,8100;12.09.2023;Surse proprii,
Cladire;Alee;AVRIG;19,1000;0,0000;0,0000;67552,4900;12.09.2023;Surse proprii,
Cladire;Alee;AVRIG;26,6000;0,0000;0,0000;119494,2000;31.08.2023;Surse proprii,
Teren;Alee;AVRIG;0,0000;0,0000;27,3500;592000,0000;21.09.2023;Mixt,
Teren;Alee;AVRIG;0,0000;0,0000;6,6400;0,0000;12.09.2023;Surse proprii,
Teren;Alee;AVRIG;0,0000;0,0000;16,3000;535223,5300;04.09.2023;Surse proprii,
Teren;Alee;AVRIG;0,0000;0,0000;28,3200;0,0000;12.09.2023;Surse proprii,
Teren;Alee;AVRIG;0,0000;0,0000;48,3800;626850,0000;21.09.2023;Surse proprii,
Teren;Alee;AVRIG;0,0000;0,0000;16,3300;483172,2000;31.08.2023;Surse proprii,
Teren;Alee;AVRIG;0,0000;0,0000;4,0700;0,0000;12.09.2023;Surse proprii,
Cladire;Alee;AVRIG;30,0000;0,0000;0,0000;244723,0500;28.04.2023;fara sursa,
Cladire;Alee;AVRIG;26,7100;0,0000;0,0000;254992,0000;14.02.2023;Surse proprii,
Cladire;Alee;AVRIG;30,1300;0,0000;0,0000;231776,0000;18.01.2023;Surse proprii,
Cladire;Alee;AVRIG;30,3800;0,0000;0,0000;266867,0000;08.11.2023;Mixt,
Cladire;Alee;AVRIG;30,4000;0,0000;0,0000;272965,0000;28.07.2023;Surse proprii,
Cladire;Alee;AVRIG;31,1200;0,0000;0,0000;229963,7300;28.02.2023;Surse proprii,
Cladire;Alee;AVRIG;33,8200;0,0000;0,0000;268407,0000;19.10.2023;Surse proprii,
Cladire;Alee;BISTRICIOARA;29,5400;0,0000;0,0000;162315,0000;19.04.2023;Credit,
Cladire;Alee;BISTRICIOARA;34,9600;0,0000;0,0000;98810,0000;28.03.2023;Surse proprii,
Cladire;Alee;BISTRICIOARA;33,5000;0,0000;0,0000;198496,0000;25.05.2023;Mixt,
Cladire;Alee;BISTRICIOARA;36,2900;0,0000;0,0000;212850,0000;07.08.2023;Surse proprii,
Cladire;Alee;BISTRICIOARA;92,0000;0,0000;0,0000;498721,2000;25.05.2023;Surse proprii,
Cladire;Alee;BRASOVENI;23,6400;0,0000;0,0000;182118,0000;10.05.2023;Surse proprii,
Cladire;Alee;BRASOVENI;49,7000;0,0000;0,0000;296328,0000;15.09.2023;Surse proprii,
Cladire;Alee;BRASOVENI;51,0000;0,0000;0,0000;360488,0000;04.08.2023;Surse proprii,
Cladire;Alee;BRASOVENI;51,0900;0,0000;0,0000;330000,0000;07.04.2023;Mixt,
Cladire;Alee;BRASOVENI;44,7200;0,0000;0,0000;324812,0000;24.03.2023;Surse proprii,
Cladire;Alee;BURIDAVA;0,0000;360,0000;0,0000;594645,0000;20.09.2023;fara sursa,
Cladire;Alee;BURIDAVA;30,5900;0,0000;0,0000;24255,0000;13.09.2023;Surse proprii,
Cladire;Alee;BURIDAVA;58,2200;0,0000;0,0000;174762,0000;14.06.2023;Surse proprii,
Teren;Alee;BURIDAVA;0,0000;0,0000;13,7500;174762,0000;14.06.2023;Surse proprii,
Cladire;Alee;CAMPUL MOSILOR;59,6600;0,0000;0,0000;453203,0000;05.10.2022;Surse proprii,
Cladire;Alee;CENUSERESEI;86,6000;0,0000;0,0000;541112,0000;09.12.2022;Surse proprii,
Cladire;Alee;CIRCULUI;44,4000;0,0000;0,0000;429354,0000;02.08.2022;Surse proprii,
Cladire;Alee;CIRCULUI;44,8000;0,0000;0,0000;409306,0000;14.12.2022;Surse proprii,
Cladire;Alee;CIRCULUI;56,8900;0,0000;0,0000;588225,4000;30.06.2022;Mixt,
Cladire;Alee;CIRCULUI;60,4100;0,0000;0,0000;561350,0000;26.09.2023;Surse proprii,
Cladire;Alee;CISLAU;78,5600;0,0000;0,0000;655000,0000;04.04.2023;Mixt,
Cladire;Alee;CISLAU;36,6500;0,0000;0,0000;258445,0000;16.11.2023;Surse proprii,
